epoch,loss,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,0.3758160471916199,122.53218078613281,0.3758160471916199,0.6130383610725403,0.33670657873153687,100.0,0.33670657873153687,0.5802642107009888
1,0.31881749629974365,102.41301727294922,0.31881749629974365,0.5646392703056335,0.3546725809574127,100.0,0.3546725809574127,0.5955439209938049
2,0.31379783153533936,101.4616928100586,0.31379783153533936,0.5601766109466553,0.35775306820869446,100.0,0.35775306820869446,0.598124623298645
3,0.3072991967201233,100.98616790771484,0.3072991967201233,0.5543457269668579,0.3524130880832672,100.0,0.3524130880832672,0.5936439037322998
4,0.2953633964061737,100.42640686035156,0.2953633964061737,0.543473482131958,0.21838590502738953,48.27864074707031,0.21838590502738953,0.4673177897930145
5,0.23186257481575012,86.46419525146484,0.23186257481575012,0.4815210998058319,0.20443958044052124,74.39327239990234,0.20443961024284363,0.45214998722076416
6,0.17983119189739227,75.16783142089844,0.17983119189739227,0.42406508326530457,0.20473147928714752,70.01214599609375,0.20473147928714752,0.45247262716293335
7,0.17495472729206085,74.7752456665039,0.17495472729206085,0.4182758927345276,0.20221133530139923,80.02593994140625,0.20221132040023804,0.4496791362762451
8,0.17447376251220703,76.66399383544922,0.17447376251220703,0.41770055890083313,0.20429793000221252,74.86727142333984,0.20429793000221252,0.45199328660964966
9,0.17388848960399628,76.55469512939453,0.17388848960399628,0.4169993996620178,0.2042434811592102,74.46359252929688,0.2042434811592102,0.4519330561161041
10,0.17397825419902802,76.67927551269531,0.17397825419902802,0.4171070158481598,0.20399683713912964,78.00760650634766,0.20399683713912964,0.4516600966453552
11,0.17405611276626587,76.82363891601562,0.17405611276626587,0.41720032691955566,0.2049923688173294,68.36068725585938,0.2049923688173294,0.45276081562042236
12,0.17422813177108765,76.47036743164062,0.17422813177108765,0.41740643978118896,0.20405027270317078,87.78700256347656,0.20405027270317078,0.4517192542552948
13,0.17365148663520813,76.80851745605469,0.17365148663520813,0.4167151153087616,0.20392662286758423,77.56514739990234,0.20392662286758423,0.4515823423862457
14,0.17408335208892822,75.22622680664062,0.17408333718776703,0.4172329604625702,0.19715853035449982,81.29936981201172,0.19715853035449982,0.4440253674983978
15,0.17376656830310822,76.56741333007812,0.17376656830310822,0.4168531596660614,0.20459848642349243,68.54974365234375,0.20459848642349243,0.45232564210891724
16,0.17404191195964813,76.91993713378906,0.17404191195964813,0.4171833097934723,0.19960424304008484,74.66071319580078,0.19960421323776245,0.44677087664604187
17,0.1736523061990738,76.09663391113281,0.1736523061990738,0.4167160987854004,0.20403790473937988,75.68548583984375,0.20403793454170227,0.45170557498931885
18,0.17383992671966553,75.51686096191406,0.17383992671966553,0.41694116592407227,0.1812552958726883,78.040771484375,0.1812552958726883,0.4257408678531647
19,0.1731240451335907,76.78345489501953,0.1731240451335907,0.4160817861557007,0.19823788106441498,80.3995361328125,0.19823788106441498,0.4452391266822815
20,0.1733524203300476,76.24346160888672,0.1733524203300476,0.4163561165332794,0.20401157438755035,81.90734100341797,0.20401157438755035,0.4516763985157013
