id,anomalous_pix_perc,cloud_cover,origin_x,origin_y,acquired,strip_id\n
20181027_162535_0f22,0,0.25,637338,4408065,2018-10-27T16:25:35.97526Z,1797344
20181027_162651_1008,0,0.01,608625,4447041,2018-10-27T16:26:51.25225Z,1797103
20181028_160035_104b,0,0,618084,4433484,2018-10-28T16:00:35.999742Z,1799665
20181028_162312_0e20,0.01,0,606351,4444548,2018-10-28T16:23:12.892284Z,1799733
20181029_162527_1042,0,0,632247,4408410,2018-10-29T16:25:27.09386Z,1802453
20181031_155927_0f2a,0,0.04,633741,4430220,2018-10-31T15:59:27.557645Z,1807443
20181031_162514_0f12,0,0.08,650211,4434573,2018-10-31T16:25:14.515684Z,1807508
20181031_162615_1014,0,0.13,616815,4454433,2018-10-31T16:26:15.326789Z,1807739
20191020_165134_84_1058,0,0.06,634644,4459914,2019-10-20T16:51:34.84953Z,2767030
20191020_165136_88_1058,0,0.09,631650,4445676,2019-10-20T16:51:36.887962Z,2767030
20191020_165138_92_1058,0,0.1,628656,4431447,2019-10-20T16:51:38.926918Z,2767030
20191020_165140_96_1058,0,0.03,625677,4417197,2019-10-20T16:51:40.965874Z,2767030
20191022_165049_40_1059,0,0.03,629178,4472718,2019-10-22T16:50:49.408463Z,2776884
20191022_165051_43_1059,0,0.05,626187,4458510,2019-10-22T16:50:51.433263Z,2776884
20191022_165053_45_1059,0,0.04,623232,4444404,2019-10-22T16:50:53.458063Z,2776884
20191022_165055_48_1059,0,0.03,620340,4430205,2019-10-22T16:50:55.482863Z,2776884
20191022_165057_50_1059,0,0.02,617370,4416009,2019-10-22T16:50:57.508188Z,2776884
20191025_163519_101f,0,0.21,610863,4441851,2019-10-25T16:35:19.600512Z,2782685
20191025_163520_101f,0,0.25,609297,4434561,2019-10-25T16:35:20.637553Z,2782685
20191027_150342_0f33,0,0,627015,4403289,2019-10-27T15:03:42.288504Z,2786426
20191027_150343_0f33,0,0,625497,4409850,2019-10-27T15:03:43.220164Z,2786426
20191027_150344_0f33,0,0,623940,4416402,2019-10-27T15:03:44.151824Z,2786426
20191027_150345_0f33,0,0,622401,4422993,2019-10-27T15:03:45.083483Z,2786426
20191027_150346_0f33,0,0,620871,4429593,2019-10-27T15:03:46.015143Z,2786426
20191027_150346_1_0f33,0,0,619293,4436166,2019-10-27T15:03:46.946803Z,2786426
20191027_150347_0f33,0,0,617781,4442751,2019-10-27T15:03:47.877939Z,2786426
20191027_150348_0f33,0,0,616254,4449318,2019-10-27T15:03:48.809598Z,2786426
20191027_150349_0f33,0,0,614811,4455858,2019-10-27T15:03:49.741258Z,2786426
20191027_162546_0e3a,0,0,614172,4459404,2019-10-27T16:25:46.809514Z,2786764
